SIC,Industry,Sector,Division
4432,Freight Transportation on the Great Lakes-St. Lawrence Seaway,Water Transportation,"Transportation, Communications, Electric, Gas, And Sanitary Services"
4449,"Water Transportation of Freight, Not Elsewhere Classified",Water Transportation,"Transportation, Communications, Electric, Gas, And Sanitary Services"
4481,"Deep Sea Transportation of Passengers, Except by Ferry",Water Transportation,"Transportation, Communications, Electric, Gas, And Sanitary Services"
4482,Ferries,Water Transportation,"Transportation, Communications, Electric, Gas, And Sanitary Services"
4489,"Water Transportation of Passengers, Not Elsewhere Classified",Water Transportation,"Transportation, Communications, Electric, Gas, And Sanitary Services"
4491,Marine Cargo Handling,Water Transportation,"Transportation, Communications, Electric, Gas, And Sanitary Services"
4492,Towing and Tugboat Services,Water Transportation,"Transportation, Communications, Electric, Gas, And Sanitary Services"
4493,Marinas,Water Transportation,"Transportation, Communications, Electric, Gas, And Sanitary Services"
4499,"Water Transportation Services, Not Elsewhere Classified",Water Transportation,"Transportation, Communications, Electric, Gas, And Sanitary Services"
4512,"Air Transportation, Scheduled",Transportation By Air,"Transportation, Communications, Electric, Gas, And Sanitary Services"
4513,Air Courier Services,Transportation By Air,"Transportation, Communications, Electric, Gas, And Sanitary Services"
4522,"Air Transportation, Nonscheduled",Transportation By Air,"Transportation, Communications, Electric, Gas, And Sanitary Services"
4581,"Airports, Flying Fields, and Airport Terminal Services",Transportation By Air,"Transportation, Communications, Electric, Gas, And Sanitary Services"
4612,Crude Petroleum Pipelines,"Pipelines, Except Natural Gas","Transportation, Communications, Electric, Gas, And Sanitary Services"
4613,Refined Petroleum Pipelines,"Pipelines, Except Natural Gas","Transportation, Communications, Electric, Gas, And Sanitary Services"
4619,"Pipelines, Not Elsewhere Classified","Pipelines, Except Natural Gas","Transportation, Communications, Electric, Gas, And Sanitary Services"
4724,Travel Agencies,Transportation Services,"Transportation, Communications, Electric, Gas, And Sanitary Services"
4725,Tour Operators,Transportation Services,"Transportation, Communications, Electric, Gas, And Sanitary Services"
4729,"Arrangement of Passenger Transportation, Not Elsewhere Classified",Transportation Services,"Transportation, Communications, Electric, Gas, And Sanitary Services"
4731,Arrangement of Transportation of Freight and Cargo,Transportation Services,"Transportation, Communications, Electric, Gas, And Sanitary Services"
4741,Rental of Railroad Cars,Transportation Services,"Transportation, Communications, Electric, Gas, And Sanitary Services"
4783,Packing and Crating,Transportation Services,"Transportation, Communications, Electric, Gas, And Sanitary Services"
4785,Fixed Facilities and Inspection and Weighing Services for Motor Vehicle Transportation,Transportation Services,"Transportation, Communications, Electric, Gas, And Sanitary Services"
4789,"Transportation Services, Not Elsewhere Classified",Transportation Services,"Transportation, Communications, Electric, Gas, And Sanitary Services"
4812,Radiotelephone Communications,Communications,"Transportation, Communications, Electric, Gas, And Sanitary Services"
4813,"Telephone Communications, Except Radiotelephone",Communications,"Transportation, Communications, Electric, Gas, And Sanitary Services"
4822,Telegraph and Other Message Communications,Communications,"Transportation, Communications, Electric, Gas, And Sanitary Services"
4832,Radio Broadcasting Stations,Communications,"Transportation, Communications, Electric, Gas, And Sanitary Services"
4833,Television Broadcasting Stations,Communications,"Transportation, Communications, Electric, Gas, And Sanitary Services"
4841,Cable and Other Pay Television Services,Communications,"Transportation, Communications, Electric, Gas, And Sanitary Services"
4899,"Communications Services, Not Elsewhere Classified",Communications,"Transportation, Communications, Electric, Gas, And Sanitary Services"
4911,Electric Services,"Electric, Gas, And Sanitary Services ","Transportation, Communications, Electric, Gas, And Sanitary Services"
4922,Natural Gas Transmission,"Electric, Gas, And Sanitary Services ","Transportation, Communications, Electric, Gas, And Sanitary Services"
4923,Natural Gas Transmission and Distribution,"Electric, Gas, And Sanitary Services ","Transportation, Communications, Electric, Gas, And Sanitary Services"
4924,Natural Gas Distribution,"Electric, Gas, And Sanitary Services ","Transportation, Communications, Electric, Gas, And Sanitary Services"
4925,"Mixed, Manufactured, or Liquefied Petroleum Gas Production and/or","Electric, Gas, And Sanitary Services ","Transportation, Communications, Electric, Gas, And Sanitary Services"
4931,Electric and Other Services Combined,"Electric, Gas, And Sanitary Services ","Transportation, Communications, Electric, Gas, And Sanitary Services"
4932,Gas and Other Services Combined,"Electric, Gas, And Sanitary Services ","Transportation, Communications, Electric, Gas, And Sanitary Services"
4939,"Combination Utilities, Not Elsewhere Classified","Electric, Gas, And Sanitary Services ","Transportation, Communications, Electric, Gas, And Sanitary Services"
4941,Water Supply,"Electric, Gas, And Sanitary Services ","Transportation, Communications, Electric, Gas, And Sanitary Services"
4952,Sewerage Systems,"Electric, Gas, And Sanitary Services ","Transportation, Communications, Electric, Gas, And Sanitary Services"
4953,Refuse Systems,"Electric, Gas, And Sanitary Services ","Transportation, Communications, Electric, Gas, And Sanitary Services"
4959,"Sanitary Services, Not Elsewhere Classified","Electric, Gas, And Sanitary Services ","Transportation, Communications, Electric, Gas, And Sanitary Services"
4961,Steam and Air-Conditioning Supply,"Electric, Gas, And Sanitary Services ","Transportation, Communications, Electric, Gas, And Sanitary Services"
4971,Irrigation Systems,"Electric, Gas, And Sanitary Services ","Transportation, Communications, Electric, Gas, And Sanitary Services"
5012,Automobiles and Other Motor Vehicles,Wholesale Trade-durable Goods,Wholesale Trade
5013,Motor Vehicle Supplies and New Parts,Wholesale Trade-durable Goods,Wholesale Trade
5014,Tires and Tubes,Wholesale Trade-durable Goods,Wholesale Trade
5015,"Motor Vehicle Parts, Used",Wholesale Trade-durable Goods,Wholesale Trade
5021,Furniture,Wholesale Trade-durable Goods,Wholesale Trade
5023,Home furnishings,Wholesale Trade-durable Goods,Wholesale Trade
5031,"Lumber, Plywood, Millwork, and Wood Panels",Wholesale Trade-durable Goods,Wholesale Trade
5032,"Brick, Stone, and Related Construction Materials",Wholesale Trade-durable Goods,Wholesale Trade
5033,"Roofing, Siding, and Insulation Materials",Wholesale Trade-durable Goods,Wholesale Trade
5039,"Construction Materials, Not Elsewhere Classified",Wholesale Trade-durable Goods,Wholesale Trade
5043,Photographic Equipment and Supplies,Wholesale Trade-durable Goods,Wholesale Trade
5044,Office Equipment,Wholesale Trade-durable Goods,Wholesale Trade
5045,Computers and Computer Peripheral Equipment and Software,Wholesale Trade-durable Goods,Wholesale Trade
5046,"Commercial Equipment, Not Elsewhere Classified",Wholesale Trade-durable Goods,Wholesale Trade
5047,"Medical, Dental, and Hospital Equipment and Supplies",Wholesale Trade-durable Goods,Wholesale Trade
5048,Ophthalmic Goods,Wholesale Trade-durable Goods,Wholesale Trade
5049,"Professional Equipment and Supplies, Not Elsewhere Classified",Wholesale Trade-durable Goods,Wholesale Trade
5051,Metals Service Centers and Offices,Wholesale Trade-durable Goods,Wholesale Trade
5052,Coal and Other Minerals and Ores,Wholesale Trade-durable Goods,Wholesale Trade
5063,"Electrical Apparatus and Equipment Wiring Supplies, and Construction Materials",Wholesale Trade-durable Goods,Wholesale Trade
5064,"Electrical Appliances, Television and Radio Sets",Wholesale Trade-durable Goods,Wholesale Trade
5065,"Electronic Parts and Equipment, Not Elsewhere Classified",Wholesale Trade-durable Goods,Wholesale Trade
5072,Hardware,Wholesale Trade-durable Goods,Wholesale Trade
5074,Plumbing and Heating Equipment and Supplies (Hydronics),Wholesale Trade-durable Goods,Wholesale Trade
5075,Warm Air Heating and Air-Conditioning Equipment and Supplies,Wholesale Trade-durable Goods,Wholesale Trade
5078,Refrigeration Equipment and Supplies,Wholesale Trade-durable Goods,Wholesale Trade
5082,Construction and Mining (Except Petroleum) Machinery and Equipment,Wholesale Trade-durable Goods,Wholesale Trade
5083,Farm and Garden Machinery and Equipment,Wholesale Trade-durable Goods,Wholesale Trade
5084,Industrial Machinery and Equipment,Wholesale Trade-durable Goods,Wholesale Trade
5085,Industrial Supplies,Wholesale Trade-durable Goods,Wholesale Trade
5087,Service Establishment Equipment and Supplies,Wholesale Trade-durable Goods,Wholesale Trade
5088,"Transportation Equipment and Supplies, Except Motor Vehicles",Wholesale Trade-durable Goods,Wholesale Trade
5091,Sporting and Recreational Goods and Supplies,Wholesale Trade-durable Goods,Wholesale Trade
5092,Toys and Hobby Goods and Supplies,Wholesale Trade-durable Goods,Wholesale Trade
5093,Scrap and Waste Materials,Wholesale Trade-durable Goods,Wholesale Trade
5094,"Jewelry, Watches, Precious Stones, and Precious Metals",Wholesale Trade-durable Goods,Wholesale Trade
5099,"Durable Goods, Not Elsewhere Classified",Wholesale Trade-durable Goods,Wholesale Trade
5111,Printing and Writing Paper,Wholesale Trade-non-durable Goods,Wholesale Trade
5112,Stationery and Office Supplies,Wholesale Trade-non-durable Goods,Wholesale Trade
5113,Industrial and Personal Service Paper,Wholesale Trade-non-durable Goods,Wholesale Trade
5122,"Drugs, Drug Proprietaries, and Druggists' Sundries",Wholesale Trade-non-durable Goods,Wholesale Trade
5131,"Piece Goods, Notions, and Other Dry Good",Wholesale Trade-non-durable Goods,Wholesale Trade
5136,Men's and Boy's Clothing and Furnishings,Wholesale Trade-non-durable Goods,Wholesale Trade
5137,"Women's, Children's, and Infants' Clothing and Accessories",Wholesale Trade-non-durable Goods,Wholesale Trade
5139,Footwear,Wholesale Trade-non-durable Goods,Wholesale Trade
5141,"Groceries, General Line",Wholesale Trade-non-durable Goods,Wholesale Trade
5142,Packaged Frozen Foods,Wholesale Trade-non-durable Goods,Wholesale Trade
5143,"Dairy Products, Except Dried or Canned",Wholesale Trade-non-durable Goods,Wholesale Trade
5144,Poultry and Poultry Products,Wholesale Trade-non-durable Goods,Wholesale Trade
5145,Confectionery,Wholesale Trade-non-durable Goods,Wholesale Trade
5146,Fish and Seafoods,Wholesale Trade-non-durable Goods,Wholesale Trade
5147,Meats and Meat Products,Wholesale Trade-non-durable Goods,Wholesale Trade
5148,Fresh Fruits and Vegetables,Wholesale Trade-non-durable Goods,Wholesale Trade
5149,"Groceries and Related Products, Not Elsewhere Classified",Wholesale Trade-non-durable Goods,Wholesale Trade
5153,Grain and Field Beans,Wholesale Trade-non-durable Goods,Wholesale Trade
5154,Livestock,Wholesale Trade-non-durable Goods,Wholesale Trade
5159,"Farm-Product Raw Materials, Not Elsewhere Classified",Wholesale Trade-non-durable Goods,Wholesale Trade
5162,Plastics Materials and Basic Forms and Shapes,Wholesale Trade-non-durable Goods,Wholesale Trade
5169,"Chemicals and Allied Products, Not Elsewhere Classified",Wholesale Trade-non-durable Goods,Wholesale Trade
5171,Petroleum Bulk stations and Terminals,Wholesale Trade-non-durable Goods,Wholesale Trade
5172,"Petroleum and Petroleum Products Wholesalers, Except Bulk Stations and Terminals",Wholesale Trade-non-durable Goods,Wholesale Trade
5181,Beer and Ale,Wholesale Trade-non-durable Goods,Wholesale Trade
5182,Wine and Distilled Alcoholic Beverages,Wholesale Trade-non-durable Goods,Wholesale Trade
5191,Farm Supplies,Wholesale Trade-non-durable Goods,Wholesale Trade
5192,"Books, Periodicals, and Newspapers",Wholesale Trade-non-durable Goods,Wholesale Trade
5193,"Flowers, Nursery Stock, and Florists' Supplies",Wholesale Trade-non-durable Goods,Wholesale Trade
5194,Tobacco and Tobacco Products,Wholesale Trade-non-durable Goods,Wholesale Trade
5198,"Paints, Varnishes, and Supplies",Wholesale Trade-non-durable Goods,Wholesale Trade
5199,"Nondurable Goods, Not Elsewhere Classified",Wholesale Trade-non-durable Goods,Wholesale Trade
5211,Lumber and Other Building Materials Dealers,"Building Materials, Hardware, Garden Supply, And Mobile Home Dealers",Retail Trade
5231,"Paint, Glass, and Wallpaper Stores","Building Materials, Hardware, Garden Supply, And Mobile Home Dealers",Retail Trade
5251,Hardware Stores,"Building Materials, Hardware, Garden Supply, And Mobile Home Dealers",Retail Trade
5261,"Retail Nurseries, Lawn and Garden Supply Stores","Building Materials, Hardware, Garden Supply, And Mobile Home Dealers",Retail Trade
5271,Mobile Home Dealers,"Building Materials, Hardware, Garden Supply, And Mobile Home Dealers",Retail Trade
5311,Department Stores,General Merchandise Stores,Retail Trade
5331,Variety Stores,General Merchandise Stores,Retail Trade
5399,Miscellaneous General Merchandise Stores,General Merchandise Stores,Retail Trade
5411,Grocery Stores,Food Stores,Retail Trade
5421,"Meat and Fish (Seafood) Markets, Including Freezer Provisioners",Food Stores,Retail Trade
5431,Fruit and Vegetable Markets,Food Stores,Retail Trade
5441,"Candy, Nut, and Confectionery Stores",Food Stores,Retail Trade
5451,Dairy Products Stores,Food Stores,Retail Trade
5461,Retail Bakeries,Food Stores,Retail Trade
5499,Miscellaneous Food Stores,Food Stores,Retail Trade
5511,Motor Vehicle Dealers (New and Used),Automotive Dealers And Gasoline Service Stations,Retail Trade
5521,Motor Vehicle Dealers (Used Only),Automotive Dealers And Gasoline Service Stations,Retail Trade
5531,Auto and Home Supply Stores,Automotive Dealers And Gasoline Service Stations,Retail Trade
5541,Gasoline Service Stations,Automotive Dealers And Gasoline Service Stations,Retail Trade
5551,Boat Dealers,Automotive Dealers And Gasoline Service Stations,Retail Trade
5561,Recreational Vehicle Dealers,Automotive Dealers And Gasoline Service Stations,Retail Trade
5571,Motorcycle Dealers,Automotive Dealers And Gasoline Service Stations,Retail Trade
5599,"Automotive Dealers, Not Elsewhere Classified",Automotive Dealers And Gasoline Service Stations,Retail Trade
5611,Men's and Boys' Clothing and Accessory Stores,Apparel And Accessory Stores,Retail Trade
5621,Women's Clothing Stores,Apparel And Accessory Stores,Retail Trade
5632,Women's Accessory and Specialty Stores,Apparel And Accessory Stores,Retail Trade
5641,Children's and Infants' Wear Stores,Apparel And Accessory Stores,Retail Trade
5651,Family Clothing Stores,Apparel And Accessory Stores,Retail Trade
5661,Shoe Stores,Apparel And Accessory Stores,Retail Trade
5699,Miscellaneous Apparel and Accessory Stores,Apparel And Accessory Stores,Retail Trade
5712,Furniture Stores,"Home Furniture, Furnishings, And Equipment Stores",Retail Trade
5713,Floor Covering Stores,"Home Furniture, Furnishings, And Equipment Stores",Retail Trade
5714,"Drapery, Curtain, and Upholstery Stores","Home Furniture, Furnishings, And Equipment Stores",Retail Trade
5719,Miscellaneous home furnishings Stores,"Home Furniture, Furnishings, And Equipment Stores",Retail Trade
5722,Household Appliance Stores,"Home Furniture, Furnishings, And Equipment Stores",Retail Trade
5731,"Radio, Television, and Consumer Electronics Stores","Home Furniture, Furnishings, And Equipment Stores",Retail Trade
5734,Computer and Computer Software Stores,"Home Furniture, Furnishings, And Equipment Stores",Retail Trade
5735,Record and Prerecorded Tape Stores,"Home Furniture, Furnishings, And Equipment Stores",Retail Trade
5736,Musical Instrument Stores,"Home Furniture, Furnishings, And Equipment Stores",Retail Trade
5812,Eating Places,Eating And Drinking Places,Retail Trade
5813,Drinking Places (alcoholic Beverages),Eating And Drinking Places,Retail Trade
5912,Drug Stores and Proprietary Stores,Miscellaneous Retail ,Retail Trade
5921,Liquor Stores,Miscellaneous Retail ,Retail Trade
5932,Used Merchandise Stores,Miscellaneous Retail ,Retail Trade
5941,Sporting Goods Stores and Bicycle Shops,Miscellaneous Retail ,Retail Trade
5942,Book Stores,Miscellaneous Retail ,Retail Trade
5943,Stationery Stores,Miscellaneous Retail ,Retail Trade
5944,Jewelry Stores,Miscellaneous Retail ,Retail Trade
5945,"Hobby, Toy, and Game Shops",Miscellaneous Retail ,Retail Trade
5946,Camera and Photographic Supply Stores,Miscellaneous Retail ,Retail Trade
5947,"Gift, Novelty, and Souvenir Shops",Miscellaneous Retail ,Retail Trade
5948,Luggage and Leather Goods Stores,Miscellaneous Retail ,Retail Trade
5949,"Sewing, Needlework, and Piece Goods Stores",Miscellaneous Retail ,Retail Trade
5961,Catalog and Mail-Order Houses,Miscellaneous Retail ,Retail Trade
5962,Automatic Merchandising Machine Operators,Miscellaneous Retail ,Retail Trade
5963,Direct Selling Establishments,Miscellaneous Retail ,Retail Trade
5983,Fuel Oil Dealers,Miscellaneous Retail ,Retail Trade
5984,Liquefied Petroleum Gas (Bottled Gas) Dealers,Miscellaneous Retail ,Retail Trade
5989,"Fuel Dealers, Not Elsewhere Classified",Miscellaneous Retail ,Retail Trade
5992,Florists,Miscellaneous Retail ,Retail Trade
5993,Tobacco Stores and Stands,Miscellaneous Retail ,Retail Trade
5994,News Dealers and Newsstands,Miscellaneous Retail ,Retail Trade
5995,Optical Goods Stores,Miscellaneous Retail ,Retail Trade
5999,"Miscellaneous Retail Stores, Not Elsewhere Classified",Miscellaneous Retail ,Retail Trade
6011,Federal Reserve Banks,Depository Institutions,"Finance, Insurance, And Real Estate"
6019,"Central Reserve Depository Institutions, Not Elsewhere Classified",Depository Institutions,"Finance, Insurance, And Real Estate"
6021,National Commercial Banks,Depository Institutions,"Finance, Insurance, And Real Estate"
6022,State Commercial Banks,Depository Institutions,"Finance, Insurance, And Real Estate"
6029,"Commercial Banks, Not Elsewhere Classified",Depository Institutions,"Finance, Insurance, And Real Estate"
6035,"Savings Institutions, Federally Chartered",Depository Institutions,"Finance, Insurance, And Real Estate"
6036,"Savings Institutions, Not Federally Chartered",Depository Institutions,"Finance, Insurance, And Real Estate"
6061,"Credit Unions, Federally Chartered",Depository Institutions,"Finance, Insurance, And Real Estate"
6062,"Credit Unions, Not Federally Chartered",Depository Institutions,"Finance, Insurance, And Real Estate"
6081,Branches and Agencies of Foreign Banks,Depository Institutions,"Finance, Insurance, And Real Estate"
6082,Foreign Trade and International Banking Institutions,Depository Institutions,"Finance, Insurance, And Real Estate"
6091,"Non-deposit Trust Facilities,",Depository Institutions,"Finance, Insurance, And Real Estate"
6099,"Functions Related to Depository Banking, Not Elsewhere Classified",Depository Institutions,"Finance, Insurance, And Real Estate"
6111,Federal and Federally-Sponsored Credit Agencies,Non-depository Credit Institutions,"Finance, Insurance, And Real Estate"
6141,Personal Credit Institutions,Non-depository Credit Institutions,"Finance, Insurance, And Real Estate"
6153,"Short-Term Business Credit Institutions, Except Agricultural",Non-depository Credit Institutions,"Finance, Insurance, And Real Estate"
6159,Miscellaneous business Credit Institutions,Non-depository Credit Institutions,"Finance, Insurance, And Real Estate"
6162,Mortgage Bankers and Loan Correspondents,Non-depository Credit Institutions,"Finance, Insurance, And Real Estate"
6163,Loan Brokers,Non-depository Credit Institutions,"Finance, Insurance, And Real Estate"
6211,"Security Brokers, Dealers, and Flotation Companies","Security And Commodity Brokers, Dealers, Exchanges, And Services","Finance, Insurance, And Real Estate"
6221,Commodity Contracts Brokers and Dealers,"Security And Commodity Brokers, Dealers, Exchanges, And Services","Finance, Insurance, And Real Estate"
6231,Security and Commodity Exchanges,"Security And Commodity Brokers, Dealers, Exchanges, And Services","Finance, Insurance, And Real Estate"
6282,Investment Advice,"Security And Commodity Brokers, Dealers, Exchanges, And Services","Finance, Insurance, And Real Estate"
6289,"Services Allied With the Exchange of Securities or Commodities, Not Elsewhere Classified","Security And Commodity Brokers, Dealers, Exchanges, And Services","Finance, Insurance, And Real Estate"
6311,Life Insurance,Insurance Carriers,"Finance, Insurance, And Real Estate"
6321,Accident and Health Insurance,Insurance Carriers,"Finance, Insurance, And Real Estate"
6324,Hospital and Medical Service Plans,Insurance Carriers,"Finance, Insurance, And Real Estate"
6331,"Fire, Marine, and Casualty Insurance",Insurance Carriers,"Finance, Insurance, And Real Estate"
6351,Surety Insurance,Insurance Carriers,"Finance, Insurance, And Real Estate"
6361,Title Insurance,Insurance Carriers,"Finance, Insurance, And Real Estate"
6371,"Pension, Health, and Welfare Funds",Insurance Carriers,"Finance, Insurance, And Real Estate"
6399,"Insurance Carriers, Not Elsewhere Classified",Insurance Carriers,"Finance, Insurance, And Real Estate"
6411,"Insurance Agents, Brokers, and Service","Insurance Agents, Brokers, And Service","Finance, Insurance, And Real Estate"
6512,Operators of Nonresidential Buildings,Real Estate,"Finance, Insurance, And Real Estate"
6513,Operators of Apartment Buildings,Real Estate,"Finance, Insurance, And Real Estate"
6514,Operators of Dwellings Other Than Apartment Buildings,Real Estate,"Finance, Insurance, And Real Estate"
6515,Operators of Residential Mobile Home Sites,Real Estate,"Finance, Insurance, And Real Estate"
6517,Lessors of Railroad Property,Real Estate,"Finance, Insurance, And Real Estate"
6519,"Lessors of Real Property, Not Elsewhere Classified",Real Estate,"Finance, Insurance, And Real Estate"
6531,Real Estate Agents and Managers,Real Estate,"Finance, Insurance, And Real Estate"
6541,Title Abstract Offices,Real Estate,"Finance, Insurance, And Real Estate"
6552,"Land Subdividers and Developers, Except Cemeteries",Real Estate,"Finance, Insurance, And Real Estate"
6553,Cemetery Subdividers and Developers,Real Estate,"Finance, Insurance, And Real Estate"
6712,Offices of Bank Holding Companies,Holding And Other Investment Offices,"Finance, Insurance, And Real Estate"
6719,"Offices of Holding Companies, Not Elsewhere Classified",Holding And Other Investment Offices,"Finance, Insurance, And Real Estate"
6722,"Management Investment Offices, Open-End",Holding And Other Investment Offices,"Finance, Insurance, And Real Estate"
6726,"Unit Investment Trusts, Face-Amount Certificate Offices, and Closed-End Management Investment Offices",Holding And Other Investment Offices,"Finance, Insurance, And Real Estate"
6732,"Educational, Religious, and Charitable Trusts",Holding And Other Investment Offices,"Finance, Insurance, And Real Estate"
6733,"Trusts, Except Educational, Religious, and Charitable",Holding And Other Investment Offices,"Finance, Insurance, And Real Estate"
6792,Oil Royalty Traders,Holding And Other Investment Offices,"Finance, Insurance, And Real Estate"
6794,Patent Owners and Lessors,Holding And Other Investment Offices,"Finance, Insurance, And Real Estate"
6798,Real Estate Investment Trusts,Holding And Other Investment Offices,"Finance, Insurance, And Real Estate"
6799,"Investors, Not Elsewhere Classified",Holding And Other Investment Offices,"Finance, Insurance, And Real Estate"
7011,Hotels and Motels,"Hotels, Rooming Houses, Camps, And Other Lodging Places",Services
7021,Rooming and Boarding Houses,"Hotels, Rooming Houses, Camps, And Other Lodging Places",Services
7032,Sporting and Recreational Camps,"Hotels, Rooming Houses, Camps, And Other Lodging Places",Services
7033,Recreational Vehicle Parks and Campsites,"Hotels, Rooming Houses, Camps, And Other Lodging Places",Services
7041,"Organization Hotels and Lodging Houses, on Membership Basis","Hotels, Rooming Houses, Camps, And Other Lodging Places",Services
7211,"Power Laundries, Family and Commercial",Personal Services,Services
7212,"Garment Pressing, and Agents for Laundries and Drycleaners",Personal Services,Services
7213,Linen Supply,Personal Services,Services
7215,Coin-Operated Laundries and Drycleaning,Personal Services,Services
7216,"Drycleaning Plants, Except Rug Cleaning",Personal Services,Services
7217,Carpet and Upholstery Cleaning,Personal Services,Services
7218,Industrial Launderers,Personal Services,Services
7219,"Laundry and Garment Services, Not Elsewhere Classified",Personal Services,Services
7221,"Photographic Studios, Portrait",Personal Services,Services
7231,Beauty Shops,Personal Services,Services
7241,Barber Shops,Personal Services,Services
7251,Shoe Repair Shops and Shoeshine Parlors,Personal Services,Services
7261,Funeral Service and Crematories,Personal Services,Services
7291,Tax Return Preparation Services,Personal Services,Services
7299,"Miscellaneous Personal Services, Not Elsewhere Classified",Personal Services,Services
7311,Advertising Agencies,Business Services,Services
7312,Outdoor Advertising Services,Business Services,Services
7313,"Radio, Television, and Publishers' Advertising Representatives",Business Services,Services
7319,"Advertising, Not Elsewhere Classified",Business Services,Services
7322,Adjustment and Collection Services,Business Services,Services
7323,Credit Reporting Services,Business Services,Services
7331,Direct Mail Advertising Services,Business Services,Services
7334,Photocopying and Duplicating Services,Business Services,Services
7335,Commercial Photography,Business Services,Services
7336,Commercial Art and Graphic Design,Business Services,Services
7338,Secretarial and Court Reporting Services,Business Services,Services
7342,Disinfecting and Pest Control Services,Business Services,Services
7349,"Building Cleaning and Maintenance Services, Not Elsewhere",Business Services,Services
7352,Medical Equipment Rental and Leasing,Business Services,Services
7353,Heavy Construction Equipment Rental and Leasing,Business Services,Services
7359,"Equipment Rental and Leasing, Not Elsewhere Classified",Business Services,Services
7361,Employment Agencies,Business Services,Services
7363,Help Supply Services,Business Services,Services
7371,Computer Programming Services,Business Services,Services
7372,Prepackaged Software,Business Services,Services
7373,Computer Integrated Systems Design,Business Services,Services
7374,Computer Processing and Data Preparation and Processing Services,Business Services,Services
7375,Information Retrieval Services,Business Services,Services
7376,Computer Facilities Management Services,Business Services,Services
7377,Computer Rental and Leasing,Business Services,Services
7378,Computer Maintenance and Repair,Business Services,Services
7379,"Computer Related Services, Not Elsewhere Classified",Business Services,Services
7381,"Detective, Guard, and Armored Car Services",Business Services,Services
7382,Security Systems Services,Business Services,Services
7383,News Syndicates,Business Services,Services
7384,Photofinishing Laboratories,Business Services,Services
7389,"Business Services, Not Elsewhere Classified",Business Services,Services
7513,"Truck Rental and Leasing, Without Drivers","Automotive Repair, Services, And Parking",Services
7514,Passenger Car Rental,"Automotive Repair, Services, And Parking",Services
7515,Passenger Car Leasing,"Automotive Repair, Services, And Parking",Services
7519,Utility Trailer and Recreational Vehicle Rental,"Automotive Repair, Services, And Parking",Services
7521,Automobile Parking,"Automotive Repair, Services, And Parking",Services
7532,"Top, Body, and Upholstery Repair Shops and Paint Shops","Automotive Repair, Services, And Parking",Services
7533,Automotive Exhaust System Repair Shops,"Automotive Repair, Services, And Parking",Services
7534,Tire Retreading and Repair Shops,"Automotive Repair, Services, And Parking",Services
7536,Automotive Glass Replacement Shops,"Automotive Repair, Services, And Parking",Services
7537,Automotive Transmission Repair Shops,"Automotive Repair, Services, And Parking",Services
7538,General Automotive Repair Shops,"Automotive Repair, Services, And Parking",Services
7539,"Automotive Repair Shops, Not Elsewhere Classified","Automotive Repair, Services, And Parking",Services
7542,Carwashes,"Automotive Repair, Services, And Parking",Services
7549,"Automotive Services, Except Repair and Carwashes","Automotive Repair, Services, And Parking",Services
7622,Radio and Television Repair Shops,Miscellaneous Repair Services,Services
7623,Refrigeration and Air-Conditioning Service and Repair Shops,Miscellaneous Repair Services,Services
7629,"Electrical and Electronic Repair Shops, Not Elsewhere Classified",Miscellaneous Repair Services,Services
7631,"Watch, Clock, and Jewelry Repair",Miscellaneous Repair Services,Services
7641,Reupholstery and Furniture Repair,Miscellaneous Repair Services,Services
7692,Welding Repair,Miscellaneous Repair Services,Services
7694,Armature Rewinding Shops,Miscellaneous Repair Services,Services
7699,"Repair Shops and Related Services, Not Elsewhere Classified",Miscellaneous Repair Services,Services
7812,Motion Picture and Video Tape Production,Motion Pictures,Services
7819,Services Allied to Motion Picture Production,Motion Pictures,Services
7822,Motion Picture and Video Tape Distribution,Motion Pictures,Services
7829,Services Allied to Motion Picture Distribution,Motion Pictures,Services
7832,"Motion Picture Theaters, Except Drive-In",Motion Pictures,Services
7833,Drive-In Motion Picture Theaters,Motion Pictures,Services
7841,Video Tape Rental,Motion Pictures,Services
7911,"Dance Studios, Schools, and Halls",Amusement And Recreation Services,Services
7922,Theatrical Producers (Except Motion Picture) and Miscellaneous Theatrical Services,Amusement And Recreation Services,Services
7929,"Bands, Orchestras, Actors, and Other Entertainers and Entertainment Groups",Amusement And Recreation Services,Services
7933,Bowling Centers,Amusement And Recreation Services,Services
7941,Professional Sports Clubs and Promoters,Amusement And Recreation Services,Services
7948,"Racing, Including Track Operation",Amusement And Recreation Services,Services
7991,Physical Fitness Facilities,Amusement And Recreation Services,Services
7992,Public Golf Courses,Amusement And Recreation Services,Services
7993,Coin-Operated Amusement Devices,Amusement And Recreation Services,Services
7996,Amusement Parks,Amusement And Recreation Services,Services
7997,Membership Sports and Recreation Clubs,Amusement And Recreation Services,Services
7999,"Amusement and Recreation Services, Not Elsewhere Classified",Amusement And Recreation Services,Services
8011,Offices and Clinics of Doctors of Medicine,Health Services,Services
8021,Offices and Clinics of Dentists,Health Services,Services
8031,Offices and Clinics of Doctors of Osteopathy,Health Services,Services
8041,Offices and Clinics of Chiropractors,Health Services,Services
8042,Offices and Clinics of Optometrists,Health Services,Services
8043,Offices and Clinics of Podiatrists,Health Services,Services
8049,"Offices and Clinics of Health Practitioners, Not Elsewhere Classified",Health Services,Services
8051,Skilled Nursing Care Facilities,Health Services,Services
8052,Intermediate Care Facilities,Health Services,Services
